image,image_path,breed,breed_en,confidence,model_ready,message,note
Chihuahua.png,C:\Users\User\Downloads\Dog_Test\Chihuahua.png,Chó Chihuahua,Chihuahua,0.997203,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Chihuahua.
Chin Nhật.png,C:\Users\User\Downloads\Dog_Test\Chin Nhật.png,Chin Nhật,Japanese Spaniel,0.974631,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chin Nhật.
Cho Phu Quoc (1).png,C:\Users\User\Downloads\Dog_Test\Cho Phu Quoc (1).png,Chó Phu Quoc,Phu Quoc Dog,0.989740,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Phu Quoc.
Cho Phu Quoc (2).png,C:\Users\User\Downloads\Dog_Test\Cho Phu Quoc (2).png,Chó Phu Quoc,Phu Quoc Dog,0.955485,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Phu Quoc.
Chow Chow.png,C:\Users\User\Downloads\Dog_Test\Chow Chow.png,Chó Chow Chow,Chow,0.967494,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Chow Chow.
Chó Affenpinscher.png,C:\Users\User\Downloads\Dog_Test\Chó Affenpinscher.png,Chó Affenpinscher,Affenpinscher,0.992293,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Affenpinscher.
Chó Afghan Hound.png,C:\Users\User\Downloads\Dog_Test\Chó Afghan Hound.png,Chó Afghan Hound,Afghan Hound,0.842662,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Afghan Hound.
Chó Airedale Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Airedale Terrier.png,Chó Airedale Terrier,Airedale,0.641966,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Alaska Malamute.png,C:\Users\User\Downloads\Dog_Test\Chó Alaska Malamute.png,Chó Alaska Malamute,Malamute,0.969356,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Alaska Malamute.
Chó Amstaff.png,C:\Users\User\Downloads\Dog_Test\Chó Amstaff.png,Nghi lai: Chó Amstaff x Chó Staffordshire Bull Terrier,Crossbreed: American Staffordshire Terrier x Staffordshire Bullterrier,0.897326,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Appenzeller.png,C:\Users\User\Downloads\Dog_Test\Chó Appenzeller.png,Chó Appenzeller,Appenzeller,0.895503,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Appenzeller.
Chó Basenji.png,C:\Users\User\Downloads\Dog_Test\Chó Basenji.png,Chó Basenji,Basenji,0.947170,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Basenji.
Chó Basset Hound.png,C:\Users\User\Downloads\Dog_Test\Chó Basset Hound.png,Chó Basset Hound,Basset,0.914581,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Basset Hound.
Chó Beagle.png,C:\Users\User\Downloads\Dog_Test\Chó Beagle.png,Chó Beagle,Beagle,0.969917,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Beagle.
Chó Bedlington Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Bedlington Terrier.png,Chó Bedlington Terrier,Bedlington Terrier,0.980903,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Bedlington Terrier.
Chó Bernese Mountain Dog.png,C:\Users\User\Downloads\Dog_Test\Chó Bernese Mountain Dog.png,Chó Bernese Mountain Dog,Bernese Mountain Dog,0.703065,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Bernese Mountain Dog.
Chó Bichon Frise.png,C:\Users\User\Downloads\Dog_Test\Chó Bichon Frise.png,Chó Bichon Frise,Bichon Frise,0.986578,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Bichon Frise.
Chó Black and Tan Coonhound.png,C:\Users\User\Downloads\Dog_Test\Chó Black and Tan Coonhound.png,Chó Black and Tan Coonhound,Black and Tan Coonhound,0.718144,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Black and Tan Coonhound.
Chó Bloodhound.png,C:\Users\User\Downloads\Dog_Test\Chó Bloodhound.png,Chó Bloodhound,Bloodhound,0.961888,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Bloodhound.
Chó Bluetick Coonhound.png,C:\Users\User\Downloads\Dog_Test\Chó Bluetick Coonhound.png,Chó Bluetick Coonhound,Bluetick,0.775852,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Bluetick Coonhound.
Chó Bobtail.png,C:\Users\User\Downloads\Dog_Test\Chó Bobtail.png,Chó Bobtail,Old English Sheepdog,0.950884,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Bobtail.
Chó Border Collie.png,C:\Users\User\Downloads\Dog_Test\Chó Border Collie.png,Chó Border Collie,Border Collie,0.883736,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Border Collie.
Chó Border Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Border Terrier.png,Chó Border Terrier,Border Terrier,0.998939,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Border Terrier.
Chó Borzoi.png,C:\Users\User\Downloads\Dog_Test\Chó Borzoi.png,Chó Borzoi,Borzoi,0.986010,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Borzoi.
Chó Boston Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Boston Terrier.png,Nghi lai: Chó Boston Terrier x Bulldog Pháp,Crossbreed: Boston Bull x French Bulldog,0.648324,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Bouvier des Flandres.png,C:\Users\User\Downloads\Dog_Test\Chó Bouvier des Flandres.png,Chó Bouvier des Flandres,Bouvier des Flandres,0.992666,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Bouvier des Flandres.
Chó Boxer.png,C:\Users\User\Downloads\Dog_Test\Chó Boxer.png,Chó Boxer,Boxer,0.983235,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Boxer.
Chó Briard.png,C:\Users\User\Downloads\Dog_Test\Chó Briard.png,Chó Briard,Briard,0.917427,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Briard.
Chó Brittany Spaniel.png,C:\Users\User\Downloads\Dog_Test\Chó Brittany Spaniel.png,Chó Brittany Spaniel,Brittany Spaniel,0.984792,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Brittany Spaniel.
Chó Brussels Griffon.png,C:\Users\User\Downloads\Dog_Test\Chó Brussels Griffon.png,Chó Brussels Griffon,Brabancon Griffon,0.859181,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Brussels Griffon.
Chó Bullmastiff.png,C:\Users\User\Downloads\Dog_Test\Chó Bullmastiff.png,Chó Bullmastiff,Bull Mastiff,0.941877,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Bullmastiff.
Chó Bắc Hà.jpg,C:\Users\User\Downloads\Dog_Test\Chó Bắc Hà.jpg,Chó Bắc Hà,Bac Ha Dog,0.980120,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Bắc Hà.
Chó Cairn Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Cairn Terrier.png,Chó Cairn Terrier,Cairn,0.954615,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Cairn Terrier.
Chó Cane Corso.png,C:\Users\User\Downloads\Dog_Test\Chó Cane Corso.png,Chó Cane Corso,Cane Corso,0.991925,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Cane Corso.
Chó Cavalier King Charles (Blenheim).png,C:\Users\User\Downloads\Dog_Test\Chó Cavalier King Charles (Blenheim).png,Chó Cavalier King Charles (Blenheim),Blenheim Spaniel,0.966625,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Cavalier King Charles (Blenheim).
Chó Chesapeake Retriever.png,C:\Users\User\Downloads\Dog_Test\Chó Chesapeake Retriever.png,Chó Chesapeake Retriever,Chesapeake Bay Retriever,0.979890,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Chesapeake Retriever.
Chó Clumber Spaniel.png,C:\Users\User\Downloads\Dog_Test\Chó Clumber Spaniel.png,Chó Clumber Spaniel,Clumber,0.977537,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Clumber Spaniel.
Chó Cocker.png,C:\Users\User\Downloads\Dog_Test\Chó Cocker.png,Chó Cocker,Cocker Spaniel,0.707980,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Cocker.
Chó Collie.png,C:\Users\User\Downloads\Dog_Test\Chó Collie.png,Nghi lai: Chó Sheltie x Chó Collie,Crossbreed: Shetland Sheepdog x Collie,0.712028,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Corgi Cardigan.png,C:\Users\User\Downloads\Dog_Test\Chó Corgi Cardigan.png,Chó Corgi Cardigan,Cardigan,0.976071,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Corgi Cardigan.
Chó Corgi Pembroke.png,C:\Users\User\Downloads\Dog_Test\Chó Corgi Pembroke.png,Chó Corgi Pembroke,Pembroke,0.906062,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Corgi Pembroke.
Chó Curly-coated Retriever.png,C:\Users\User\Downloads\Dog_Test\Chó Curly-coated Retriever.png,Chó Curly-coated Retriever,Curly Coated Retriever,0.900234,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Curly-coated Retriever.
Chó Dandie Dinmont Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Dandie Dinmont Terrier.png,Chó Dandie Dinmont Terrier,Dandie Dinmont,0.874903,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Dandie Dinmont Terrier.
Chó Deerhound Scotland.png,C:\Users\User\Downloads\Dog_Test\Chó Deerhound Scotland.png,Chó Deerhound Scotland,Scottish Deerhound,0.970561,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Deerhound Scotland.
Chó Dhole.png,C:\Users\User\Downloads\Dog_Test\Chó Dhole.png,Chó Dhole,Dhole,0.969779,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Dhole.
Chó Dingo.png,C:\Users\User\Downloads\Dog_Test\Chó Dingo.png,Nghi lai: Chó ta Việt Nam x Chó Dingo,Crossbreed: Vietnamese Native Dog x Dingo,0.731371,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Doberman (2).png,C:\Users\User\Downloads\Dog_Test\Chó Doberman (2).png,Chó Doberman,Doberman,0.933124,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Doberman.
Chó Doberman.png,C:\Users\User\Downloads\Dog_Test\Chó Doberman.png,Chó Doberman,Doberman,0.709310,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Doberman.
Chó Elkhound Na Uy.png,C:\Users\User\Downloads\Dog_Test\Chó Elkhound Na Uy.png,Chó Elkhound Na Uy,Norwegian Elkhound,0.958497,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Elkhound Na Uy.
Chó Entlebucher.png,C:\Users\User\Downloads\Dog_Test\Chó Entlebucher.png,Nghi lai: Chó Entlebucher x Chó Appenzeller,Crossbreed: Entlebucher x Appenzeller,0.659628,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Fila Brasileiro.png,C:\Users\User\Downloads\Dog_Test\Chó Fila Brasileiro.png,Chó Fila Brasileiro,Fila Brasileiro,0.928646,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Fila Brasileiro.
Chó Flat-coated Retriever.png,C:\Users\User\Downloads\Dog_Test\Chó Flat-coated Retriever.png,Chó Flat-coated Retriever,Flat Coated Retriever,0.931990,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Flat-coated Retriever.
Chó Golden.png,C:\Users\User\Downloads\Dog_Test\Chó Golden.png,Chó Golden,Golden Retriever,0.911032,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Golden.
Chó Gordon Setter.png,C:\Users\User\Downloads\Dog_Test\Chó Gordon Setter.png,Chó Gordon Setter,Gordon Setter,0.906699,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Gordon Setter.
Chó Great Pyrenees.png,C:\Users\User\Downloads\Dog_Test\Chó Great Pyrenees.png,Chó Great Pyrenees,Great Pyrenees,0.935603,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Great Pyrenees.
Chó Greater Swiss Mountain Dog.png,C:\Users\User\Downloads\Dog_Test\Chó Greater Swiss Mountain Dog.png,Chó Greater Swiss Mountain Dog,Greater Swiss Mountain Dog,0.857694,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Greater Swiss Mountain Dog.
Chó H'Mông cộc đuôi.png,C:\Users\User\Downloads\Dog_Test\Chó H'Mông cộc đuôi.png,Chó H'Mông cộc đuôi,Hmong Bobtail Dog,0.978280,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó H'Mông cộc đuôi.
Chó hoang châu Phi.png,C:\Users\User\Downloads\Dog_Test\Chó hoang châu Phi.png,Chó hoang châu Phi,African Hunting Dog,0.982349,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó hoang châu Phi.
Chó Husky Siberia.png,C:\Users\User\Downloads\Dog_Test\Chó Husky Siberia.png,Chó Husky Siberia,Siberian Husky,0.987083,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Husky Siberia.
Chó Ibizan Hound.png,C:\Users\User\Downloads\Dog_Test\Chó Ibizan Hound.png,Chó Ibizan Hound,Ibizan Hound,0.963096,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Ibizan Hound.
Chó Irish Setter.png,C:\Users\User\Downloads\Dog_Test\Chó Irish Setter.png,Chó Irish Setter,Irish Setter,0.906503,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Irish Setter.
Chó Irish Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Irish Terrier.png,Chó Irish Terrier,Irish Terrier,0.952344,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Irish Terrier.
Chó Irish Water Spaniel.png,C:\Users\User\Downloads\Dog_Test\Chó Irish Water Spaniel.png,Chó Irish Water Spaniel,Irish Water Spaniel,0.990407,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Irish Water Spaniel.
Chó Irish Wolfhound.png,C:\Users\User\Downloads\Dog_Test\Chó Irish Wolfhound.png,Nghi lai: Chó Irish Wolfhound x Chó Deerhound Scotland,Crossbreed: Irish Wolfhound x Scottish Deerhound,0.782026,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Keeshond.png,C:\Users\User\Downloads\Dog_Test\Chó Keeshond.png,Chó Keeshond,Keeshond,0.928566,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Keeshond.
Chó Kelpie.png,C:\Users\User\Downloads\Dog_Test\Chó Kelpie.png,Nghi lai: Chó Kelpie x Chó H'Mông cộc đuôi,Crossbreed: Kelpie x Hmong Bobtail Dog,0.832589,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Kerry Blue Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Kerry Blue Terrier.png,Chó Kerry Blue Terrier,Kerry Blue Terrier,0.911733,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Kerry Blue Terrier.
Chó Komondor.png,C:\Users\User\Downloads\Dog_Test\Chó Komondor.png,Chó Komondor,Komondor,0.951595,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Komondor.
Chó Kuvasz.png,C:\Users\User\Downloads\Dog_Test\Chó Kuvasz.png,Chó Kuvasz,Kuvasz,0.963553,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Kuvasz.
Chó Labrador.png,C:\Users\User\Downloads\Dog_Test\Chó Labrador.png,Chó Labrador,Labrador Retriever,0.974703,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Labrador.
Chó Lakeland Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Lakeland Terrier.png,Nghi lai: Chó Lakeland Terrier x Chó Airedale Terrier,Crossbreed: Lakeland Terrier x Airedale,0.829588,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Leonberger.png,C:\Users\User\Downloads\Dog_Test\Chó Leonberger.png,Chó Leonberger,Leonberg,0.951374,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Leonberger.
Chó Lhasa.png,C:\Users\User\Downloads\Dog_Test\Chó Lhasa.png,Nghi lai: Chó Lhasa x Chó Shih Tzu,Crossbreed: Lhasa x Shih Tzu,0.949826,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Maltese.png,C:\Users\User\Downloads\Dog_Test\Chó Maltese.png,Chó Maltese,Maltese Dog,0.907985,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Maltese.
Chó Mexican Hairless.png,C:\Users\User\Downloads\Dog_Test\Chó Mexican Hairless.png,Chó Mexican Hairless,Mexican Hairless,0.954514,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Mexican Hairless.
Chó mào Trung Quốc.jpg,C:\Users\User\Downloads\Dog_Test\Chó mào Trung Quốc.jpg,Chó mào Trung Quốc,Chinese Crested Dog,0.815448,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó mào Trung Quốc.
Chó mào Trung Quốc.png,C:\Users\User\Downloads\Dog_Test\Chó mào Trung Quốc.png,Chó mào Trung Quốc,Chinese Crested Dog,0.861927,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó mào Trung Quốc.
Chó Newfoundland.png,C:\Users\User\Downloads\Dog_Test\Chó Newfoundland.png,Chó Newfoundland,Newfoundland,0.986853,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Newfoundland.
Chó Norfolk Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Norfolk Terrier.png,Nghi lai: Chó Norfolk Terrier x Chó Norwich Terrier,Crossbreed: Norfolk Terrier x Norwich Terrier,0.703139,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Norwich Terrier.png,C:\Users\User\Downloads\Dog_Test\Chó Norwich Terrier.png,Chó Norwich Terrier,Norwich Terrier,0.936708,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Norwich Terrier.
Chó Otterhound.png,C:\Users\User\Downloads\Dog_Test\Chó Otterhound.png,Chó Otterhound,Otterhound,0.962104,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Otterhound.
Chó Papillon.jpg,C:\Users\User\Downloads\Dog_Test\Chó Papillon.jpg,Chó Papillon,Papillon,0.981811,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Papillon.
Chó Papillon.png,C:\Users\User\Downloads\Dog_Test\Chó Papillon.png,Chó Papillon,Papillon,0.948725,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Papillon.
Chó Poodle Mini.png,C:\Users\User\Downloads\Dog_Test\Chó Poodle Mini.png,Chó Poodle Mini,Miniature Poodle,0.658856,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Poodle Standard.png,C:\Users\User\Downloads\Dog_Test\Chó Poodle Standard.png,Chó Poodle Standard,Standard Poodle,0.760588,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Poodle Standard.
Chó Poodle Toy.png,C:\Users\User\Downloads\Dog_Test\Chó Poodle Toy.png,Chó Poodle Toy,Toy Poodle,0.860215,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Poodle Toy.
Chó Redbone Coonhound.png,C:\Users\User\Downloads\Dog_Test\Chó Redbone Coonhound.png,Chó Redbone Coonhound,Redbone,0.747389,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Redbone Coonhound.
