image,image_path,breed,breed_en,confidence,model_ready,message,note
Brabancon Griffon × Pug.png,C:\Users\User\Downloads\Mixed_Breed\Brabancon Griffon × Pug.png,Nghi lai: Chó Pug x Chó Brussels Griffon,Crossbreed: Pug x Brabancon Griffon,0.677940,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Brittany Spaniel × English Springer .png,C:\Users\User\Downloads\Mixed_Breed\Brittany Spaniel × English Springer .png,Nghi lai: Chó Brittany Spaniel x Springer xứ Wales,Crossbreed: Brittany Spaniel x Welsh Springer Spaniel,0.667288,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Brittany Spaniel × Welsh Springer Spaniel.png,C:\Users\User\Downloads\Mixed_Breed\Brittany Spaniel × Welsh Springer Spaniel.png,Nghi lai: Springer xứ Wales x Chó Brittany Spaniel,Crossbreed: Welsh Springer Spaniel x Brittany Spaniel,0.537482,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Bulldog Pháp x Chó Corgi Cardigan.jpg,C:\Users\User\Downloads\Mixed_Breed\Bulldog Pháp x Chó Corgi Cardigan.jpg,Nghi lai: Bulldog Pháp x Chó Corgi Cardigan,Crossbreed: French Bulldog x Cardigan,0.505757,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Bắc Kinh x Chin Nhật.png,C:\Users\User\Downloads\Mixed_Breed\Bắc Kinh x Chin Nhật.png,Nghi lai: Bắc Kinh x Chin Nhật,Crossbreed: Pekinese x Japanese Spaniel,0.597888,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Cairn × West Highland White Terrier.png,C:\Users\User\Downloads\Mixed_Breed\Cairn × West Highland White Terrier.png,Nghi lai: Chó Norwich Terrier x Chó Cairn Terrier,Crossbreed: Norwich Terrier x Cairn,0.550610,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Cane Corso × Rottweiler.jpg,C:\Users\User\Downloads\Mixed_Breed\Cane Corso × Rottweiler.jpg,Nghi lai: Chó Rottweiler x Chó Cane Corso,Crossbreed: Rottweiler x Cane Corso,0.583683,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chesapeake Retriever × Newfoundland.png,C:\Users\User\Downloads\Mixed_Breed\Chesapeake Retriever × Newfoundland.png,Nghi lai: Chó Chesapeake Retriever x Chó Bắc Hà,Crossbreed: Chesapeake Bay Retriever x Bac Ha Dog,0.478587,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chihuahua × Papillon.png,C:\Users\User\Downloads\Mixed_Breed\Chihuahua × Papillon.png,Nghi lai: Chó Chihuahua x Chó Papillon,Crossbreed: Chihuahua x Papillon,0.801785,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chihuahua × Pomeranian.png.png,C:\Users\User\Downloads\Mixed_Breed\Chihuahua × Pomeranian.png.png,Nghi lai: Phốc sóc x Chó Chihuahua,Crossbreed: Pomeranian x Chihuahua,0.546130,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chinese Crested Dog × Mexican Hairless.png,C:\Users\User\Downloads\Mixed_Breed\Chinese Crested Dog × Mexican Hairless.png,Nghi lai: Chó Mexican Hairless x Chó mào Trung Quốc,Crossbreed: Mexican Hairless x Chinese Crested Dog,0.677495,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Amstaff x Chó Staffordshire Bull Terrier.png,C:\Users\User\Downloads\Mixed_Breed\Chó Amstaff x Chó Staffordshire Bull Terrier.png,Nghi lai: Chó Amstaff x Chó Staffordshire Bull Terrier,Crossbreed: American Staffordshire Terrier x Staffordshire Bullterrier,0.722038,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Bullmastiff x Chó Fila Brasileiro.png,C:\Users\User\Downloads\Mixed_Breed\Chó Bullmastiff x Chó Fila Brasileiro.png,Nghi lai: Chó Bullmastiff x Chó Fila Brasileiro,Crossbreed: Bull Mastiff x Fila Brasileiro,0.710152,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Greater Swiss Mountain Dog x Chó Appenzeller.png,C:\Users\User\Downloads\Mixed_Breed\Chó Greater Swiss Mountain Dog x Chó Appenzeller.png,Nghi lai: Chó Greater Swiss Mountain Dog x Chó Appenzeller,Crossbreed: Greater Swiss Mountain Dog x Appenzeller,0.606414,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó hoang châu Phi x Chó Dhole.png,C:\Users\User\Downloads\Mixed_Breed\Chó hoang châu Phi x Chó Dhole.png,Nghi lai: Chó hoang châu Phi x Chó Dhole,Crossbreed: African Hunting Dog x Dhole,0.491841,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó hoang châu Phi x Chó Phu Quoc.png,C:\Users\User\Downloads\Mixed_Breed\Chó hoang châu Phi x Chó Phu Quoc.png,Nghi lai: Chó hoang châu Phi x Chó Phu Quoc,Crossbreed: African Hunting Dog x Phu Quoc Dog,0.618978,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Saluki x Chó Afghan Hound.png,C:\Users\User\Downloads\Mixed_Breed\Chó Saluki x Chó Afghan Hound.png,Nghi lai: Chó Saluki x Chó Afghan Hound,Crossbreed: Saluki x Afghan Hound,0.431686,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Chó Springer Anh x Springer xứ Wales.png,C:\Users\User\Downloads\Mixed_Breed\Chó Springer Anh x Springer xứ Wales.png,Nghi lai: Chó Springer Anh x Springer xứ Wales,Crossbreed: English Springer x Welsh Springer Spaniel,0.812879,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Clumber × Sussex Spaniel.png,C:\Users\User\Downloads\Mixed_Breed\Clumber × Sussex Spaniel.png,Nghi lai: Chó Clumber Spaniel x Chó Cocker,Crossbreed: Clumber x Cocker Spaniel,0.664881,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Cocker Spaniel × English Springer.png,C:\Users\User\Downloads\Mixed_Breed\Cocker Spaniel × English Springer.png,Chó Springer Anh,English Springer,0.740673,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Chó Springer Anh.
Curly-coated Retriever × Flat-coated Retriever.png,C:\Users\User\Downloads\Mixed_Breed\Curly-coated Retriever × Flat-coated Retriever.png,Nghi lai: Chó Curly-coated Retriever x Chó Flat-coated Retriever,Crossbreed: Curly Coated Retriever x Flat Coated Retriever,0.761954,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Dhole × African Hunting Dog.png,C:\Users\User\Downloads\Mixed_Breed\Dhole × African Hunting Dog.png,Nghi lai: Chó hoang châu Phi x Chó Dhole,Crossbreed: African Hunting Dog x Dhole,0.452895,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
English Setter × Brittany Spaniel.png,C:\Users\User\Downloads\Mixed_Breed\English Setter × Brittany Spaniel.png,Nghi lai: Chó Brittany Spaniel x Chó Setter Anh,Crossbreed: Brittany Spaniel x English Setter,0.828072,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Entlebucher × Appenzeller.png,C:\Users\User\Downloads\Mixed_Breed\Entlebucher × Appenzeller.png,Nghi lai: Chó Entlebucher x Chó Appenzeller,Crossbreed: Entlebucher x Appenzeller,0.738721,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Fila Brasileiro x Ridgeback Rhodesia.png,C:\Users\User\Downloads\Mixed_Breed\Fila Brasileiro x Ridgeback Rhodesia.png,Nghi lai: Chó Fila Brasileiro x Chó Ridgeback Rhodesia,Crossbreed: Fila Brasileiro x Rhodesian Ridgeback,0.711798,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Fila Brasileiro × Bull Mastiff .png,C:\Users\User\Downloads\Mixed_Breed\Fila Brasileiro × Bull Mastiff .png,Nghi lai: Chó Fila Brasileiro x Chó Bullmastiff,Crossbreed: Fila Brasileiro x Bull Mastiff,0.685226,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
German Shepherd × Beagle.png,C:\Users\User\Downloads\Mixed_Breed\German Shepherd × Beagle.png,Nghi lai: Béc-giê Đức x Chó Beagle,Crossbreed: German Shepherd x Beagle,0.616645,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
German Shepherd × Chow Chow.png,C:\Users\User\Downloads\Mixed_Breed\German Shepherd × Chow Chow.png,Nghi lai: Béc-giê Đức x Chó Chow Chow,Crossbreed: German Shepherd x Chow,0.448689,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
German Shepherd × Kelpie .png,C:\Users\User\Downloads\Mixed_Breed\German Shepherd × Kelpie .png,Nghi lai: Béc-giê Đức x Chó Kelpie,Crossbreed: German Shepherd x Kelpie,0.561777,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
German Shepherd × Malinois .png,C:\Users\User\Downloads\Mixed_Breed\German Shepherd × Malinois .png,Nghi lai: Béc-giê Đức x Béc-giê Bỉ Malinois,Crossbreed: German Shepherd x Malinois,0.718374,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
German Shepherd × Malinois.png,C:\Users\User\Downloads\Mixed_Breed\German Shepherd × Malinois.png,Nghi lai: Béc-giê Đức x Béc-giê Bỉ Malinois,Crossbreed: German Shepherd x Malinois,0.654729,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
German Shepherd × Rottweiler.jpg,C:\Users\User\Downloads\Mixed_Breed\German Shepherd × Rottweiler.jpg,Nghi lai: Chó Rottweiler x Béc-giê Đức,Crossbreed: Rottweiler x German Shepherd,0.490673,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
German Shepherd × Rottweiler.png,C:\Users\User\Downloads\Mixed_Breed\German Shepherd × Rottweiler.png,Nghi lai: Béc-giê Đức x Chó Rottweiler,Crossbreed: German Shepherd x Rottweiler,0.808621,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
German Short Haired Pointer × Labrador Retriever.png,C:\Users\User\Downloads\Mixed_Breed\German Short Haired Pointer × Labrador Retriever.png,Pointer Đức,German Short Haired Pointer,0.988889,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,Ứng viên thuần chủng/chiếm ưu thế: Pointer Đức.
Giant Schnauzer × Bouvier des Flandres.png,C:\Users\User\Downloads\Mixed_Breed\Giant Schnauzer × Bouvier des Flandres.png,Nghi lai: Chó Bouvier des Flandres x Chó Briard,Crossbreed: Bouvier des Flandres x Briard,0.538422,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Gordon Setter × Brittany Spaniel.png,C:\Users\User\Downloads\Mixed_Breed\Gordon Setter × Brittany Spaniel.png,Nghi lai: Shepherd Úc x Chó Gordon Setter,Crossbreed: Australian Shepherd x Gordon Setter,0.465080,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Gordon Setter × English Setter.png,C:\Users\User\Downloads\Mixed_Breed\Gordon Setter × English Setter.png,Nghi lai: Chó Gordon Setter x Chó Setter Anh,Crossbreed: Gordon Setter x English Setter,0.507950,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Great Dane × Bull Mastiff .png,C:\Users\User\Downloads\Mixed_Breed\Great Dane × Bull Mastiff .png,Nghi lai: Ngao Đức x Chó Bullmastiff,Crossbreed: Great Dane x Bull Mastiff,0.624510,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Great Dane × Saint Bernard.png,C:\Users\User\Downloads\Mixed_Breed\Great Dane × Saint Bernard.png,Nghi lai: Chó Saint Bernard x Chó Fila Brasileiro,Crossbreed: Saint Bernard x Fila Brasileiro,0.864617,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Irish Wolfhound × Scottish Deerhound.png,C:\Users\User\Downloads\Mixed_Breed\Irish Wolfhound × Scottish Deerhound.png,Nghi lai: Chó Otterhound x Chó Irish Wolfhound,Crossbreed: Otterhound x Irish Wolfhound,0.631480,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Kelpie × Australian Shepherd.png,C:\Users\User\Downloads\Mixed_Breed\Kelpie × Australian Shepherd.png,Nghi lai: Shepherd Úc x Chó Kelpie,Crossbreed: Australian Shepherd x Kelpie,0.712243,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Komondor × Kuvasz.png,C:\Users\User\Downloads\Mixed_Breed\Komondor × Kuvasz.png,Nghi lai: Chó Kuvasz x Chó Wheaten Terrier,Crossbreed: Kuvasz x Soft Coated Wheaten Terrier,0.454069,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Kuvasz × Great Pyrenees (2).png,C:\Users\User\Downloads\Mixed_Breed\Kuvasz × Great Pyrenees (2).png,Nghi lai: Chó Great Pyrenees x Chó Kuvasz,Crossbreed: Great Pyrenees x Kuvasz,0.605590,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Kuvasz × Great Pyrenees.png,C:\Users\User\Downloads\Mixed_Breed\Kuvasz × Great Pyrenees.png,Nghi lai: Chó Great Pyrenees x Chó Kuvasz,Crossbreed: Great Pyrenees x Kuvasz,0.848732,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Labrador Retriever × Chesapeake Bay Retriever.png,C:\Users\User\Downloads\Mixed_Breed\Labrador Retriever × Chesapeake Bay Retriever.png,Chó Chesapeake Retriever,Chesapeake Bay Retriever,0.526872,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Labrador Retriever × Chesapeake Retriever.png,C:\Users\User\Downloads\Mixed_Breed\Labrador Retriever × Chesapeake Retriever.png,Chó Chesapeake Retriever,Chesapeake Bay Retriever,0.345981,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,AI giống đang nghiêng về chó (35%) nhưng chưa đủ ngưỡng xác nhận. Kết quả dưới đây chỉ mang tính tham khảo.
Labrador Retriever × German Shepherd.png,C:\Users\User\Downloads\Mixed_Breed\Labrador Retriever × German Shepherd.png,Nghi lai: Béc-giê Đức x Chó Beagle,Crossbreed: German Shepherd x Beagle,0.661046,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Labrador Retriever × Golden Retriever.png,C:\Users\User\Downloads\Mixed_Breed\Labrador Retriever × Golden Retriever.png,Nghi lai: Chó Labrador x Chó Golden,Crossbreed: Labrador Retriever x Golden Retriever,0.479910,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Labrador Retriever × Weimaraner.png,C:\Users\User\Downloads\Mixed_Breed\Labrador Retriever × Weimaraner.png,Nghi lai: Chó Weimaraner x Chó Chesapeake Retriever,Crossbreed: Weimaraner x Chesapeake Bay Retriever,0.560382,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Labrador x Chesapeake Retriever.png,C:\Users\User\Downloads\Mixed_Breed\Labrador x Chesapeake Retriever.png,Nghi lai: Chó Labrador x Chó Chesapeake Retriever,Crossbreed: Labrador Retriever x Chesapeake Bay Retriever,0.810120,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Leonberg × Saint Bernard.png,C:\Users\User\Downloads\Mixed_Breed\Leonberg × Saint Bernard.png,Nghi lai: Chó Saint Bernard x Shepherd Úc,Crossbreed: Saint Bernard x Australian Shepherd,0.715223,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Leonberger x Newfoundland.png,C:\Users\User\Downloads\Mixed_Breed\Leonberger x Newfoundland.png,Nghi lai: Chó Leonberger x Chó Newfoundland,Crossbreed: Leonberg x Newfoundland,0.580965,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Lhasa x Terrier Tây Tạng.png,C:\Users\User\Downloads\Mixed_Breed\Lhasa x Terrier Tây Tạng.png,Nghi lai: Chó Lhasa x Terrier Tây Tạng,Crossbreed: Lhasa x Tibetan Terrier,0.526057,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Malinois × Groenendael.png,C:\Users\User\Downloads\Mixed_Breed\Malinois × Groenendael.png,Nghi lai: Béc-giê Bỉ Malinois x Chó Leonberger,Crossbreed: Malinois x Leonberg,0.517439,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Maltese Dog × Keeshond.png,C:\Users\User\Downloads\Mixed_Breed\Maltese Dog × Keeshond.png,Nghi lai: Chó Silky Terrier x Chó Yorkshire Terrier,Crossbreed: Silky Terrier x Yorkshire Terrier,0.426147,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Maltese Dog × Papillon.png,C:\Users\User\Downloads\Mixed_Breed\Maltese Dog × Papillon.png,Nghi lai: Chó Maltese x Chó Lhasa,Crossbreed: Maltese Dog x Lhasa,0.461310,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Old English Sheepdog × Briard.png,C:\Users\User\Downloads\Mixed_Breed\Old English Sheepdog × Briard.png,Nghi lai: Chó Otterhound x Chó Bobtail,Crossbreed: Otterhound x Old English Sheepdog,0.539329,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Papillon x Pekinese.png,C:\Users\User\Downloads\Mixed_Breed\Papillon x Pekinese.png,Nghi lai: Chó Papillon x Bắc Kinh,Crossbreed: Papillon x Pekinese,0.499916,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Papillon × Japanese Spaniel.jpg,C:\Users\User\Downloads\Mixed_Breed\Papillon × Japanese Spaniel.jpg,Nghi lai: Chin Nhật x Chó Papillon,Crossbreed: Japanese Spaniel x Papillon,0.813988,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Papillon × Japanese Spaniel.png,C:\Users\User\Downloads\Mixed_Breed\Papillon × Japanese Spaniel.png,Nghi lai: Chó Papillon x Chin Nhật,Crossbreed: Papillon x Japanese Spaniel,0.510285,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Papillon × Shetland Sheepdog.png,C:\Users\User\Downloads\Mixed_Breed\Papillon × Shetland Sheepdog.png,Nghi lai: Chó Papillon x Chó Sheltie,Crossbreed: Papillon x Shetland Sheepdog,0.492237,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Pekinese × Shih Tzu.png,C:\Users\User\Downloads\Mixed_Breed\Pekinese × Shih Tzu.png,Nghi lai: Chó Shih Tzu x Bắc Kinh,Crossbreed: Shih Tzu x Pekinese,0.714634,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Pekingese × Papillon.png,C:\Users\User\Downloads\Mixed_Breed\Pekingese × Papillon.png,Nghi lai: Chó Papillon x Bắc Kinh,Crossbreed: Papillon x Pekinese,0.567714,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Pug × Boston Bull.png,C:\Users\User\Downloads\Mixed_Breed\Pug × Boston Bull.png,Nghi lai: Bulldog Pháp x Chó Boxer,Crossbreed: French Bulldog x Boxer,0.432710,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Redbone × Black and Tan Coonhound.png,C:\Users\User\Downloads\Mixed_Breed\Redbone × Black and Tan Coonhound.png,Nghi lai: Chó Redbone Coonhound x Chó Black and Tan Coonhound,Crossbreed: Redbone x Black and Tan Coonhound,0.532391,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Rhodesian Ridgeback × Bloodhound.png,C:\Users\User\Downloads\Mixed_Breed\Rhodesian Ridgeback × Bloodhound.png,Chó Fila Brasileiro,Fila Brasileiro,0.642800,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Rottweiler × Cane Corso.png,C:\Users\User\Downloads\Mixed_Breed\Rottweiler × Cane Corso.png,Nghi lai: Chó Cane Corso x Chó Rottweiler,Crossbreed: Cane Corso x Rottweiler,0.634435,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Saint Bernard × Newfoundland.png,C:\Users\User\Downloads\Mixed_Breed\Saint Bernard × Newfoundland.png,Nghi lai: Chó Saint Bernard x Shepherd Úc,Crossbreed: Saint Bernard x Australian Shepherd,0.531060,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Saluki x Brittany Spaniel.png,C:\Users\User\Downloads\Mixed_Breed\Saluki x Brittany Spaniel.png,Nghi lai: Chó Saluki x Chó Brittany Spaniel,Crossbreed: Saluki x Brittany Spaniel,0.461220,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Saluki × Borzoi.png,C:\Users\User\Downloads\Mixed_Breed\Saluki × Borzoi.png,Nghi lai: Chó Saluki x Chó Borzoi,Crossbreed: Saluki x Borzoi,0.478858,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Schipperke × Pomeranian.png,C:\Users\User\Downloads\Mixed_Breed\Schipperke × Pomeranian.png,Nghi lai: Spitz Nhật x Phốc sóc,Crossbreed: Japanese Spitz x Pomeranian,0.428246,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Sealyham Terrier × West Highland White Terrier .png,C:\Users\User\Downloads\Mixed_Breed\Sealyham Terrier × West Highland White Terrier .png,Nghi lai: Chó Dandie Dinmont Terrier x Chó Norfolk Terrier,Crossbreed: Dandie Dinmont x Norfolk Terrier,0.469371,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Shepherd Úc x Bulldog Pháp.png,C:\Users\User\Downloads\Mixed_Breed\Shepherd Úc x Bulldog Pháp.png,Nghi lai: Shepherd Úc x Bulldog Pháp,Crossbreed: Australian Shepherd x French Bulldog,0.374043,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Shih Tzu x Lhasa.png,C:\Users\User\Downloads\Mixed_Breed\Shih Tzu x Lhasa.png,Nghi lai: Chó Shih Tzu x Chó Lhasa,Crossbreed: Shih Tzu x Lhasa,0.766053,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Soft Coated Wheaten Terrier × Irish Terrier.png,C:\Users\User\Downloads\Mixed_Breed\Soft Coated Wheaten Terrier × Irish Terrier.png,Nghi lai: Chó Briard x Chó Otterhound,Crossbreed: Briard x Otterhound,0.406529,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Spitz Nhật x Phốc sóc.png,C:\Users\User\Downloads\Mixed_Breed\Spitz Nhật x Phốc sóc.png,Nghi lai: Spitz Nhật x Phốc sóc,Crossbreed: Japanese Spitz x Pomeranian,0.584287,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
Springer Anh x Sussex Spaniel.png,C:\Users\User\Downloads\Mixed_Breed\Springer Anh x Sussex Spaniel.png,Nghi lai: Chó Springer Anh x Chó Sussex Spaniel,Crossbreed: English Springer x Sussex Spaniel,0.566351,True,Dự đoán thành công bằng classifier softmax (Top-3) + similarity (giải thích).,
